"Location","Sample","AMA1","PP28","Schisto","PP65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp","Plate","Standard"
"34(1,B5)","RCM-008",109,7,14,2,6,4884.5,42,3,110.5,2,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"35(1,C5)","RCC-008-T01",60,13,30,2,5,7,0,3,2,0,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"36(1,D5)","RCC-008-T07",7,22,29,2,5,5,0,3,1334.5,1,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"37(1,E5)","RCC-008-T08",5,15,19,3,5,5,0,4,41,1,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"38(1,F5)","RCM-009",31.5,13.5,21.5,5.5,9.5,10.5,2.5,7.5,159.5,29.5,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"39(1,G5)","RCC-009-T01",62,3.5,19,0,13,2,0,10,0,-5,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"40(1,H5)","RCC-009-T07",28,7,32,2,6,4,0,3,5456,0,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"41(1,A6)","RCC-009-T08",13.5,4.5,25.5,3.5,5.5,5.5,1.5,3.5,222,0.5,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"42(1,B6)","RCM-010",2546.5,12,31,6,8,9375,9996,15,1866,20,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"43(1,C6)","RCC-010-T01",3,7,87.5,3,5,6,8,4,7,1,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"44(1,D6)","RCC-010-T07",3,6,39,5,5,5,8,3,9113.5,3,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"45(1,E6)","RCC-010-T08",4,8,32,6,4,9,7.5,6,461,2,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"46(1,F6)","RCM-011",1080,194,56.5,5,8,26,1180.5,558,1838,59,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"47(1,G6)","RCC-011-T01",8,148,16,3,8,9,5,10,2,-1,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"48(1,H6)","RCC-011-T07",3,20,21,5,6,8,2,9,18960,4,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"49(1,A7)","RCC-011-T08",2,19,17,3,6,6,3,16,2161,3,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"50(1,B7)","RCM-012",85,49.5,14,2,8,10.5,22,11,320,71.5,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"51(1,C7)","RCC-012-T01",422,96,16,2,7,94,3,5,1,-1,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"52(1,D7)","RCC-012-T07",161,33,15,3,6,12,4,3,15489,2,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"53(1,E7)","RCC-012-T08",157,40.5,18,4,4,10,3,4,1543,2,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"54(1,F7)","RCM-019",1279,1380.5,21,2,8,8839,5099,3,168,25,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"55(1,G7)","RCC-019-T01",528,63,256,-8,38,4,4.5,26,7,-19,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"56(1,H7)","RCC-019-T07",266.5,30,381.5,3,8,5,4,5,17521,1,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"57(1,A8)","RCC-019-T08",184.5,33,188.5,5,6,5,4,18,1541,3,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"59(1,C8)","RCM-020",1152.5,15,18,2,5,91,11,64,133,10,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"60(1,D8)","RCC-020-T01",10.5,95.5,107.5,1.5,8.5,4.5,1.5,6.5,4.5,-1.5,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"61(1,E8)","RCC-020-T07",13,16,556,2,6,4,2,3,7117,1,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"62(1,F8)","RCC-020-T08",4,10,114,2,5,4,1,3,413.5,0,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"63(1,G8)","RCM-022",2.5,6,16,2,5,4,5,4,43,1,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"64(1,H8)","RCC-022-T01",4.5,204.5,16.5,3.5,4.5,5.5,5.5,8.5,4.5,5.5,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"65(1,A9)","RCC-022-T06",4,547,15.5,2,6,6,1,8,8885,2,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"66(1,B9)","RCC-022-T08",0,5,14,2,5,3,0,2,335.5,0,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"67(1,C9)","RCM-023",3,8,17,3,5,5,900.5,3,17,3,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
