"Location","Sample","AMA1","pp28","Schisto","pp65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp","Plate","Standard"
"19(1,C3)","RAM-001","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"20(1,D3)","RAC-001-T01","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"21(1,E3)","RAM-002","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"22(1,F3)","RAC-002-T01","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"23(1,G3)","RAC-002-T07","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"24(1,H3)","RAC-002-T08","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"25(1,A4)","RAM-005","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"26(1,B4)","RAC-005-T01","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"27(1,C4)","RAC-005-T08","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"28(1,D4)","RAM-007","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"29(1,E4)","RAC-007-T01","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"30(1,F4)","RAC-007-T07","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"31(1,G4)","RAC-007-T08","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"32(1,H4)","RAM-008","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"33(1,A5)","RAC-008-T01","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"34(1,B5)","RAC-008-T07","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"35(1,C5)","RAC-008-T08","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"36(1,D5)","RAM-009","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
