"Location","Sample","AMA1","pp28","Schisto","pp65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp","Plate","Standard"
"40(1,H5)","RCC-046-T01",4582,14,16,2,14,4509,26,14,703,417.5,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"41(1,A6)","RCC-046-T07",2335,17,17,29,12,2760,17,16,21638.5,1274.5,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"42(1,B6)","RCC-046-T08",871,20,20,7,12,1005.5,23,167.5,7897,466,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"43(1,C6)","RCM-047",2764,373,17.5,6,16,60,255,23,289,58,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"44(1,D6)","RCC-047-T01",162,14.5,11,22,17,4.5,11,23,128,36.5,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"45(1,E6)","RCC-047-T07",77,19,13,6,13,11,7,18,21619,19,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"46(1,F6)","RCC-047-T08",136.5,15,13,5,14,8,16,18,8076,52.5,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"47(1,G6)","RCM-049",8979.5,924,29,2,15,6,19,12,208,55,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"48(1,H6)","RCC-049-T01",660.5,937,17,2,22,8,33,27,239.5,121,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"49(1,A7)","RCC-049-T07",99,573,15,45,12,8,7,13,18465.5,14,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"50(1,B7)","RCC-049-T08",104,1522.5,21.5,17,13,7.5,12,11.5,8069,32,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"51(1,C7)","RCM-050",8796.5,523.5,193,6,12,1319,26,13.5,590,36,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"52(1,D7)","RCC-050-T01",4521,24,15,1,13,12,12,15,101,27.5,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"53(1,E7)","RCC-050-T07",293.5,10,18,48,10,6,10,1347,18078,20,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"54(1,F7)","RCC-050-T08",210,22,18,66,13,11,13,5609.5,8004,47,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"55(1,G7)","RCC-051-T01",141,4638,18,9,11,10,11,21,174,44.5,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"56(1,H7)","RCC-051-T07",99,547.5,13,6,14,13,17,37,18802.5,44,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"57(1,A8)","RCC-051-T08",192,661.5,19,5,14,9,16,16,7913,69,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"58(1,B8)","RCM-052",2472,154,17,1,12,1292,18.5,8,210,44.5,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
