"Location","Sample","AMA1","pp28","Schisto","pp65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp","Plate","Standard"
"43(1,C6)","RAC-010-T08",99,10,7,209,26,14,70,17,10461.5,85,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"44(1,D6)","RAM-011",8616.5,93.5,6.5,1.5,21.5,808,259.5,159.5,1013,50.5,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"45(1,E6)","RAC-011-T01",297,44.5,-78,55,125,-26,86,97,255,38.5,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"46(1,F6)","RAC-011-T07",75,702,11,21,18,12.5,60.5,6,25801.5,48,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"47(1,G6)","RAC-011-T08",100,1087,8,13,21,12,63,9,10877,66,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"48(1,H6)","RAM-012",183,26.5,-14.5,13,47,12,102,6.5,223,106,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"49(1,A7)","RAC-012-T01",340,82.5,-79,78,131,-18,81,122.5,250,30,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"50(1,B7)","RAC-012-T07",79,10,-13,128,48,-4,44,31,23777,9.5,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"51(1,C7)","RAC-012-T08",90,9,13.5,12,23,3,55,21,8618,50.5,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"52(1,D7)","RAM-013",7497,15,11,7,16,4330,1116.5,10.5,257,64.5,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"53(1,E7)","RAC-013-T01",1564,28,-120,-36.5,152,-41.5,54,89.5,209,-28,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"54(1,F7)","RAC-013-T07",92,830.5,10.5,26.5,19.5,6.5,48.5,26.5,23502.5,27.5,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"55(1,G7)","RAC-013-T08",120,857,10,4,25,7,95,16,7548,83,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"56(1,H7)","RAM-015",2558.5,10,68.5,4,11,5694,5000,3,154.5,763.5,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"57(1,A8)","RAC-015-T01",1198.5,96.5,-173,77.5,209.5,124.5,194,94,198,-26.5,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"58(1,B8)","RAC-015-T07",138.5,8117.5,-59.5,41,92.5,-13.5,97.5,81.5,22996.5,-2,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"59(1,C8)","RAC-015-T08",151.5,4521,-48,-23,82,-7,85,49.5,12451,35.5,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"60(1,D8)","RAM-016",6626,1006,3,-1,22,1142,46,15,606.5,133,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"61(1,E8)","RAC-016-T01",1877,20,-11,-9,42,4009,198,41,150,48,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"62(1,F8)","RAC-016-T07",606,371,11,54,18,1439,78,15,23768,33,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"63(1,G8)","RAC-016-T08",256.5,2125,9,49,18,891.5,81.5,50,7423,66,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"64(1,H8)","RAM-017",7807,21,13,2,16,15,73,4,146,47.5,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"65(1,A9)","RAC-017-T01",734,4709,12,9.5,19,12,47,7,131,59,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
